sku_id,sku_code
SKU00001,0
SKU00002,1
SKU00003,2
SKU00004,3
SKU00005,4
SKU00006,5
SKU00007,6
SKU00008,7
SKU00009,8
SKU00010,9
SKU00011,10
SKU00012,11
SKU00013,12
SKU00014,13
SKU00015,14
SKU00016,15
SKU00017,16
SKU00018,17
SKU00019,18
SKU00020,19
SKU00021,20
SKU00022,21
SKU00023,22
SKU00024,23
SKU00025,24
SKU00026,25
SKU00027,26
SKU00028,27
SKU00029,28
SKU00030,29
SKU00031,30
SKU00032,31
SKU00033,32
SKU00034,33
SKU00035,34
SKU00036,35
SKU00037,36
SKU00038,37
SKU00039,38
SKU00040,39
SKU00041,40
SKU00042,41
SKU00043,42
SKU00044,43
SKU00045,44
SKU00046,45
SKU00047,46
SKU00048,47
SKU00049,48
SKU00050,49
SKU00051,50
SKU00052,51
SKU00053,52
SKU00054,53
SKU00055,54
SKU00056,55
SKU00057,56
SKU00058,57
SKU00059,58
SKU00060,59
SKU00061,60
SKU00062,61
SKU00063,62
SKU00064,63
SKU00065,64
SKU00066,65
SKU00067,66
SKU00068,67
SKU00069,68
SKU00070,69
SKU00071,70
SKU00072,71
SKU00073,72
SKU00074,73
SKU00075,74
SKU00076,75
SKU00077,76
SKU00078,77
SKU00079,78
SKU00080,79
SKU00081,80
SKU00082,81
SKU00083,82
SKU00084,83
SKU00085,84
SKU00086,85
SKU00087,86
SKU00088,87
SKU00089,88
SKU00090,89
SKU00091,90
SKU00092,91
SKU00093,92
SKU00094,93
SKU00095,94
SKU00096,95
SKU00097,96
SKU00098,97
SKU00099,98
SKU00100,99
SKU00101,100
SKU00102,101
SKU00103,102
SKU00104,103
SKU00105,104
SKU00106,105
SKU00107,106
SKU00108,107
SKU00109,108
SKU00110,109
SKU00111,110
SKU00112,111
SKU00113,112
SKU00114,113
SKU00115,114
SKU00116,115
SKU00117,116
SKU00118,117
SKU00119,118
SKU00120,119
SKU00121,120
SKU00122,121
SKU00123,122
SKU00124,123
SKU00125,124
SKU00126,125
SKU00127,126
SKU00128,127
SKU00129,128
SKU00130,129
SKU00131,130
SKU00132,131
SKU00133,132
SKU00134,133
SKU00135,134
SKU00136,135
SKU00137,136
SKU00138,137
SKU00139,138
SKU00140,139
SKU00141,140
SKU00142,141
SKU00143,142
SKU00144,143
SKU00145,144
SKU00146,145
SKU00147,146
SKU00148,147
SKU00149,148
SKU00150,149
SKU00151,150
SKU00152,151
SKU00153,152
SKU00154,153
SKU00155,154
SKU00156,155
SKU00157,156
SKU00158,157
SKU00159,158
SKU00160,159
SKU00161,160
SKU00162,161
SKU00163,162
SKU00164,163
SKU00165,164
SKU00166,165
SKU00167,166
SKU00168,167
SKU00169,168
SKU00170,169
SKU00171,170
SKU00172,171
SKU00173,172
SKU00174,173
SKU00175,174
SKU00176,175
SKU00177,176
SKU00178,177
SKU00179,178
SKU00180,179
SKU00181,180
SKU00182,181
SKU00183,182
SKU00184,183
SKU00185,184
SKU00186,185
SKU00187,186
SKU00188,187
SKU00189,188
SKU00190,189
SKU00191,190
SKU00192,191
SKU00193,192
SKU00194,193
SKU00195,194
SKU00196,195
SKU00197,196
SKU00198,197
SKU00199,198
SKU00200,199
SKU00201,200
SKU00202,201
SKU00203,202
SKU00204,203
SKU00205,204
SKU00206,205
SKU00207,206
SKU00208,207
SKU00209,208
SKU00210,209
SKU00211,210
SKU00212,211
SKU00213,212
SKU00214,213
SKU00215,214
SKU00216,215
SKU00217,216
SKU00218,217
SKU00219,218
SKU00220,219
SKU00221,220
SKU00222,221
SKU00223,222
SKU00224,223
SKU00225,224
SKU00226,225
SKU00227,226
SKU00228,227
SKU00229,228
SKU00230,229
SKU00231,230
SKU00232,231
SKU00233,232
SKU00234,233
SKU00235,234
SKU00236,235
SKU00237,236
SKU00238,237
SKU00239,238
SKU00240,239
SKU00241,240
SKU00242,241
SKU00243,242
SKU00244,243
SKU00245,244
SKU00246,245
SKU00247,246
SKU00248,247
SKU00249,248
SKU00250,249
SKU00251,250
SKU00252,251
SKU00253,252
SKU00254,253
SKU00255,254
SKU00256,255
SKU00257,256
SKU00258,257
SKU00259,258
SKU00260,259
SKU00261,260
SKU00262,261
SKU00263,262
SKU00264,263
SKU00265,264
SKU00266,265
SKU00267,266
SKU00268,267
SKU00269,268
SKU00270,269
SKU00271,270
SKU00272,271
SKU00273,272
SKU00274,273
SKU00275,274
SKU00276,275
SKU00277,276
SKU00278,277
SKU00279,278
SKU00280,279
SKU00281,280
SKU00282,281
SKU00283,282
SKU00284,283
SKU00285,284
SKU00286,285
SKU00287,286
SKU00288,287
SKU00289,288
SKU00290,289
SKU00291,290
SKU00292,291
SKU00293,292
SKU00294,293
SKU00295,294
SKU00296,295
SKU00297,296
SKU00298,297
SKU00299,298
SKU00300,299
SKU00301,300
SKU00302,301
SKU00303,302
SKU00304,303
SKU00305,304
SKU00306,305
SKU00307,306
SKU00308,307
SKU00309,308
SKU00310,309
SKU00311,310
SKU00312,311
SKU00313,312
SKU00314,313
SKU00315,314
SKU00316,315
SKU00317,316
SKU00318,317
SKU00319,318
SKU00320,319
SKU00321,320
SKU00322,321
SKU00323,322
SKU00324,323
SKU00325,324
SKU00326,325
SKU00327,326
SKU00328,327
SKU00329,328
SKU00330,329
SKU00331,330
SKU00332,331
SKU00333,332
SKU00334,333
SKU00335,334
SKU00336,335
SKU00337,336
SKU00338,337
SKU00339,338
SKU00340,339
SKU00341,340
SKU00342,341
SKU00343,342
SKU00344,343
SKU00345,344
SKU00346,345
SKU00347,346
SKU00348,347
SKU00349,348
SKU00350,349
SKU00351,350
SKU00352,351
SKU00353,352
SKU00354,353
SKU00355,354
SKU00356,355
SKU00357,356
SKU00358,357
SKU00359,358
SKU00360,359
SKU00361,360
SKU00362,361
SKU00363,362
SKU00364,363
SKU00365,364
